member_id,first_name,last_name,email,market,zip_code,purchase_date,renewal_date,acquisition_channel,total_visits,last_visit_date,plan_tier,plan_price
M00023,Kelly,Owens,kelly.owens88@gmail.com,Salt Lake City,84180,2025-08-26,2026-08-26,Organic Search,7,2026-04-10,Individual,38.33
M00024,Connor,Flores,connor.flores22@outlook.com,Austin,78782,2025-05-11,2026-05-11,Facebook Ads,0,,Family Plus,91.92
M00025,Shirley,Turner,shirley.turner99@gmail.com,Austin,78713,2025-11-01,2026-11-01,Word of Mouth,0,,Family,70.59
M00026,Danielle,Russell,danielle.russell39@gmail.com,Boise,83730,2025-05-29,2026-05-29,Groupon,5,2026-01-01,Family,67.16
M00027,Olivia,Murphy,olivia.murphy21@outlook.com,Tucson,85734,2025-07-23,2026-07-23,Instagram Ads,0,,Family,79.59
M00028,Megan,Garcia,megan.garcia12@outlook.com,El Paso,79937,2025-06-03,2026-06-03,Word of Mouth,0,,Individual,24.63
M00029,Denise,Harrison,denise.harrison37@gmail.com,Provo,84665,2025-09-10,2026-09-10,Facebook Ads,2,2025-12-22,Couple,49.97
M00030,Andrea,Murray,andrea.murray98@gmail.com,Provo,84689,2025-09-15,2026-09-15,Organic Search,7,2026-03-27,Individual,38.5
M00031,Andrea,Kennedy,andrea.kennedy91@gmail.com,Houston,77012,2025-06-10,2026-06-10,Groupon,4,2026-02-21,Family,98.2
M00032,Maria,Nguyen,maria.nguyen88@gmail.com,Austin,78799,2026-01-17,2027-01-17,Facebook Ads,1,2026-01-31,Individual,25.27
M00033,Jessica,Scott,jessica.scott67@gmail.com,Dallas,75294,2025-08-12,2026-08-12,Word of Mouth,0,,Couple,67.7
M00034,Debra,Price,debra.price87@outlook.com,Boise,83798,2025-11-13,2026-11-13,Facebook Ads,2,2026-03-06,Family,97.29
M00035,Rachel,Peterson,rachel.peterson37@gmail.com,Boise,83758,2026-01-21,2027-01-21,Affiliate,0,,Couple,49.35
M00036,Charles,Ruiz,charles.ruiz57@outlook.com,Phoenix,85078,2026-02-08,2027-02-08,Facebook Ads,0,,Family,69.86
M00037,Nicholas,Gonzalez,nicholas.gonzalez86@yahoo.com,Phoenix,85022,2025-11-15,2026-11-15,Groupon,0,,Family,63.02
M00038,Kenneth,Sullivan,kenneth.sullivan84@outlook.com,Houston,77035,2026-03-05,2027-03-05,Instagram Ads,0,,Couple,47.56
M00039,Daniel,Reyes,daniel.reyes69@outlook.com,Salt Lake City,84132,2026-03-17,2027-03-17,Groupon,0,,Family,96.36
M00040,Diane,Wells,diane.wells24@outlook.com,Idaho Falls,83414,2025-10-15,2026-10-15,Facebook Ads,5,2026-04-02,Family,63.29
M00041,Sara,Roberts,sara.roberts23@outlook.com,Dallas,75264,2025-12-31,2026-12-31,Word of Mouth,2,2026-03-03,Individual,32.39
M00042,Elijah,Williams,elijah.williams34@outlook.com,Salt Lake City,84125,2025-10-27,2026-10-27,Word of Mouth,1,2025-10-31,Individual,32.72
M00043,Andrew,McDonald,andrew.mcdonald20@gmail.com,Fort Worth,76157,2025-07-03,2026-07-03,Groupon,0,,Family,77.83
M00044,Sharon,Murphy,sharon.murphy88@outlook.com,Salt Lake City,84167,2025-11-15,2026-11-15,Word of Mouth,0,,Couple,66.52
M00045,Stephanie,Hill,stephanie.hill22@gmail.com,Houston,77024,2025-07-17,2026-07-17,Organic Search,1,2025-07-20,Family,78.55
M00046,Noah,Anderson,noah.anderson72@gmail.com,San Antonio,78212,2025-06-12,2026-06-12,Groupon,1,2025-06-13,Family,88.83
M00047,Sarah,Harrison,sarah.harrison5@gmail.com,Salt Lake City,84127,2025-09-01,2026-09-01,Instagram Ads,5,2026-03-22,Family Plus,112.25
M00048,James,Garcia,james.garcia39@gmail.com,Tucson,85764,2025-10-09,2026-10-09,Word of Mouth,7,2026-02-17,Family,68.9
M00049,Samantha,Chavez,samantha.chavez31@gmail.com,Salt Lake City,84194,2025-06-23,2026-06-23,Word of Mouth,0,,Couple,47.25
M00050,Brian,Barnes,brian.barnes72@gmail.com,Fort Worth,76192,2025-09-03,2026-09-03,Organic Search,9,2026-04-11,Family,71.75
M00051,Jerry,Hernandez,jerry.hernandez10@gmail.com,San Antonio,78295,2025-10-16,2026-10-16,Word of Mouth,6,2026-03-14,Family,93.78
M00052,Betty,Harrison,betty.harrison98@outlook.com,Dallas,75262,2026-03-27,2027-03-27,Facebook Ads,1,2026-04-08,Family Plus,115.69
M00053,Gregory,Collins,gregory.collins49@gmail.com,Phoenix,85080,2025-07-28,2026-07-28,Organic Search,0,,Family,69.29
M00054,Nolan,Kennedy,nolan.kennedy59@gmail.com,San Antonio,78231,2025-07-01,2026-07-01,Facebook Ads,0,,Family,66.36
M00055,Jessica,Rodriguez,jessica.rodriguez10@outlook.com,San Antonio,78262,2025-11-26,2026-11-26,Facebook Ads,4,2026-04-11,Family,61.72
M00056,Marcus,Gonzales,marcus.gonzales23@gmail.com,Salt Lake City,84129,2025-10-05,2026-10-05,Facebook Ads,4,2026-03-28,Family,69.1
M00057,David,White,david.white52@gmail.com,Austin,78717,2025-08-25,2026-08-25,Organic Search,0,,Family,62.31
M00058,Gregory,Harris,gregory.harris68@yahoo.com,Idaho Falls,83498,2026-02-25,2027-02-25,Affiliate,1,2026-03-11,Family,60.86
M00059,Rebecca,Torres,rebecca.torres97@outlook.com,Idaho Falls,83448,2025-09-17,2026-09-17,Facebook Ads,0,,Couple,64.04
M00060,Owen,James,owen.james50@yahoo.com,Fort Worth,76120,2025-08-24,2026-08-24,Word of Mouth,5,2026-02-03,Family Plus,90.93
M00061,Amber,Ross,amber.ross11@yahoo.com,Phoenix,85019,2025-05-15,2026-05-15,Facebook Ads,4,2026-02-07,Individual,33.23
M00062,Patrick,White,patrick.white77@gmail.com,Dallas,75259,2025-06-22,2026-06-22,Facebook Ads,0,,Couple,62.38
M00063,Nicholas,Baker,nicholas.baker88@gmail.com,Salt Lake City,84148,2025-11-14,2026-11-14,Facebook Ads,3,2026-03-26,Individual,22.34
M00064,Diane,Bennett,diane.bennett80@gmail.com,Mesa,85266,2025-06-04,2026-06-04,Groupon,2,2025-12-31,Family,93.38
M00065,Beverly,Kennedy,beverly.kennedy74@yahoo.com,Phoenix,85060,2025-06-29,2026-06-29,Groupon,8,2026-03-31,Family Plus,96.19
M00066,Jack,Perez,jack.perez14@outlook.com,Dallas,75292,2025-09-12,2026-09-12,Word of Mouth,0,,Family,84.8
M00067,Gregory,Gonzales,gregory.gonzales14@gmail.com,Phoenix,85075,2025-12-12,2026-12-12,Organic Search,3,2026-02-18,Family,86.51
M00068,Rachel,Richardson,rachel.richardson44@gmail.com,Phoenix,85071,2025-08-16,2026-08-16,Groupon,1,2025-08-29,Individual,33.44
M00069,Jennifer,Mendoza,jennifer.mendoza83@gmail.com,San Antonio,78241,2025-08-29,2026-08-29,Word of Mouth,0,,Family,72.24
M00070,Cynthia,Russell,cynthia.russell81@gmail.com,Boise,83765,2025-08-17,2026-08-17,Groupon,0,,Family,94.32
M00071,Heather,Johnson,heather.johnson91@gmail.com,Phoenix,85018,2025-09-29,2026-09-29,Word of Mouth,3,2026-03-30,Family,80.48
M00072,Cooper,Kim,cooper.kim79@gmail.com,Boise,83750,2026-01-22,2027-01-22,Facebook Ads,1,2026-01-29,Couple,44.49
M00073,Jesse,Hall,jesse.hall72@gmail.com,Phoenix,85033,2025-10-03,2026-10-03,Groupon,0,,Family,61.14
M00074,Jesse,Wright,jesse.wright25@outlook.com,Houston,77073,2025-08-20,2026-08-20,Groupon,0,,Family,87.41
M00075,Lisa,Davis,lisa.davis98@gmail.com,Salt Lake City,84138,2025-07-25,2026-07-25,Word of Mouth,8,2026-03-30,Individual,28.15
M00076,Liam,Hughes,liam.hughes91@yahoo.com,Austin,78736,2025-07-06,2026-07-06,Instagram Ads,6,2026-04-02,Family,81.8
M00077,Emily,Chavez,emily.chavez32@outlook.com,Houston,77083,2026-02-25,2027-02-25,Organic Search,0,,Family,74.01
M00078,Nancy,Russell,nancy.russell66@outlook.com,Mesa,85268,2026-02-16,2027-02-16,TikTok Ads,1,2026-02-25,Couple,39.07
M00079,Joyce,Diaz,joyce.diaz64@gmail.com,Provo,84653,2025-10-11,2026-10-11,Word of Mouth,0,,Individual,36.05
M00080,Richard,Lopez,richard.lopez13@outlook.com,Salt Lake City,84130,2025-12-22,2026-12-22,Groupon,0,,Individual,38.16
M00081,Cameron,Cox,cameron.cox21@outlook.com,Salt Lake City,84156,2025-10-26,2026-10-26,Facebook Ads,1,2025-11-12,Couple,66.11
M00082,James,Diaz,james.diaz62@gmail.com,Austin,78776,2026-02-02,2027-02-02,Organic Search,1,2026-02-14,Individual,32.91
M00083,Anthony,Watson,anthony.watson48@yahoo.com,San Antonio,78227,2025-06-20,2026-06-20,Organic Search,7,2026-02-23,Family,61.74
M00084,Jean,Reed,jean.reed89@gmail.com,Provo,84648,2025-09-16,2026-09-16,Facebook Ads,8,2026-03-17,Family,66.55
M00085,Diane,Kelly,diane.kelly81@outlook.com,Dallas,75261,2026-03-15,2027-03-15,Facebook Ads,1,2026-03-28,Family,83.64
M00086,Katherine,Powell,katherine.powell76@outlook.com,Boise,83718,2026-03-13,2027-03-13,Groupon,0,,Couple,67.6
M00087,Sandra,Ford,sandra.ford79@yahoo.com,Tucson,85732,2026-01-11,2027-01-11,Facebook Ads,1,2026-01-17,Family,87.06
M00088,Stephen,Walker,stephen.walker99@yahoo.com,Dallas,75277,2026-02-24,2027-02-24,Facebook Ads,1,2026-03-10,Family,82.07
M00089,Dennis,Green,dennis.green33@outlook.com,Boise,83724,2026-03-29,2027-03-29,Facebook Ads,1,2026-04-10,Family,60.76
M00090,Parker,Butler,parker.butler29@gmail.com,Dallas,75250,2025-07-21,2026-07-21,Facebook Ads,0,,Individual,26.46
M00091,Susan,Rivera,susan.rivera29@outlook.com,El Paso,79918,2025-10-27,2026-10-27,Affiliate,2,2026-02-03,Family Plus,116.85
M00092,Dennis,Wells,dennis.wells99@outlook.com,Austin,78741,2025-07-01,2026-07-01,Facebook Ads,8,2026-02-28,Family Plus,89.86
M00093,Jessica,Fisher,jessica.fisher85@yahoo.com,Phoenix,85050,2025-10-19,2026-10-19,Affiliate,1,2025-10-21,Couple,63.96
M00094,Andrew,Ramirez,andrew.ramirez20@gmail.com,Houston,77050,2025-12-19,2026-12-19,Groupon,0,,Family,97.59
M00095,Donald,White,donald.white21@yahoo.com,Tucson,85787,2026-02-17,2027-02-17,Facebook Ads,0,,Family,72.11
M00096,Diane,Gonzalez,diane.gonzalez87@gmail.com,Provo,84632,2025-06-27,2026-06-27,Facebook Ads,1,2025-06-28,Couple,52.57
M00097,Ryan,King,ryan.king26@yahoo.com,Boise,83792,2026-03-19,2027-03-19,Facebook Ads,1,2026-04-04,Family,95.7
M00098,Gregory,Young,gregory.young6@yahoo.com,Idaho Falls,83465,2025-08-29,2026-08-29,Instagram Ads,4,2026-02-07,Couple,39.88
M00099,Kimberly,Butler,kimberly.butler26@outlook.com,Phoenix,85079,2025-10-03,2026-10-03,Instagram Ads,4,2025-12-14,Family Plus,117.15
M00100,Carolyn,Reyes,carolyn.reyes21@gmail.com,Boise,83744,2025-12-13,2026-12-13,Word of Mouth,0,,Family,88.48
M00101,Heather,Price,heather.price23@gmail.com,Austin,78799,2025-10-06,2026-10-06,Groupon,0,,Family,87.14
M00102,Hunter,Torres,hunter.torres73@outlook.com,Provo,84673,2026-03-07,2027-03-07,Word of Mouth,1,2026-03-17,Individual,19.76
M00103,Dorothy,Mendoza,dorothy.mendoza92@gmail.com,San Antonio,78251,2026-01-22,2027-01-22,Facebook Ads,0,,Individual,33.09
M00104,Janet,Jackson,janet.jackson48@outlook.com,Austin,78753,2025-08-24,2026-08-24,Groupon,0,,Individual,22.15
M00105,Jesse,Brooks,jesse.brooks23@outlook.com,Mesa,85288,2025-09-29,2026-09-29,Instagram Ads,0,,Couple,56.67
M00106,Steven,Rivera,steven.rivera94@gmail.com,Tucson,85783,2026-03-19,2027-03-19,Groupon,1,2026-04-01,Family Plus,123.75
M00107,Ryan,Clark,ryan.clark64@gmail.com,Tucson,85740,2026-02-18,2027-02-18,Groupon,0,,Couple,58.09
M00108,Christine,Graham,christine.graham2@gmail.com,Phoenix,85018,2026-03-11,2027-03-11,Groupon,1,2026-04-07,Family,87.82
M00109,Jerry,Sanchez,jerry.sanchez62@outlook.com,San Antonio,78238,2026-01-28,2027-01-28,Facebook Ads,0,,Individual,35.92
M00110,Christopher,Mendoza,christopher.mendoza22@yahoo.com,Salt Lake City,84121,2026-03-20,2027-03-20,Groupon,1,2026-04-09,Family Plus,121.16
M00111,Gregory,Evans,gregory.evans25@gmail.com,Austin,78779,2026-03-10,2027-03-10,Facebook Ads,1,2026-03-11,Couple,46.13
M00112,Emma,McDonald,emma.mcdonald26@gmail.com,Phoenix,85091,2025-10-29,2026-10-29,Groupon,0,,Individual,35.88
M00113,Adrian,Kennedy,adrian.kennedy85@gmail.com,Boise,83759,2025-08-19,2026-08-19,Facebook Ads,3,2026-02-19,Family Plus,102.3
M00114,Alexander,Bell,alexander.bell97@gmail.com,Austin,78759,2025-08-04,2026-08-04,Instagram Ads,0,,Couple,55.07
M00115,Gary,Fernandez,gary.fernandez39@gmail.com,Idaho Falls,83414,2025-05-22,2026-05-22,Word of Mouth,13,2026-04-10,Family Plus,117.82
M00116,Denise,Washington,denise.washington74@yahoo.com,Phoenix,85028,2025-09-14,2026-09-14,Word of Mouth,0,,Family,75.07
M00117,Gregory,Stewart,gregory.stewart7@outlook.com,Mesa,85212,2025-07-27,2026-07-27,Groupon,0,,Family,71.44
M00118,Danielle,Sanchez,danielle.sanchez30@gmail.com,Fort Worth,76166,2025-05-30,2026-05-30,Instagram Ads,0,,Couple,60.86
M00119,Timothy,Simmons,timothy.simmons28@yahoo.com,Houston,77076,2025-10-05,2026-10-05,Affiliate,0,,Family,79.61
M00120,Andrew,Davis,andrew.davis23@gmail.com,Provo,84617,2025-12-07,2026-12-07,Facebook Ads,2,2026-02-23,Family,95.72
M00121,Joan,Hughes,joan.hughes45@gmail.com,Mesa,85298,2025-06-16,2026-06-16,Facebook Ads,0,,Individual,19.99
M00122,Edward,Cruz,edward.cruz83@gmail.com,Phoenix,85093,2026-03-31,2027-03-31,Groupon,0,,Individual,34.61
M00123,Dorothy,Hall,dorothy.hall77@yahoo.com,Austin,78749,2025-09-24,2026-09-24,Organic Search,0,,Family,70.02
M00124,Lauren,Cook,lauren.cook28@gmail.com,Boise,83789,2025-09-25,2026-09-25,Groupon,0,,Individual,29.23
M00125,Aiden,Reed,aiden.reed39@yahoo.com,Dallas,75245,2025-11-23,2026-11-23,Organic Search,0,,Family Plus,98.4
M00126,Joseph,Russell,joseph.russell85@gmail.com,Salt Lake City,84113,2025-09-02,2026-09-02,Organic Search,4,2026-03-03,Family Plus,98.34
M00127,Landon,Campbell,landon.campbell38@gmail.com,Salt Lake City,84143,2025-10-15,2026-10-15,Organic Search,0,,Family,95.5
M00128,Ryan,Price,ryan.price29@yahoo.com,San Antonio,78252,2026-02-03,2027-02-03,Groupon,0,,Family,77.55
M00129,Frances,Jackson,frances.jackson61@outlook.com,Mesa,85258,2026-02-12,2027-02-12,Word of Mouth,1,2026-03-29,Couple,65.13
M00130,Diana,Campbell,diana.campbell11@gmail.com,Boise,83732,2025-12-18,2026-12-18,Groupon,1,2026-01-15,Individual,28.04
M00131,Ruth,Barnes,ruth.barnes62@gmail.com,Salt Lake City,84135,2025-07-07,2026-07-07,Organic Search,2,2026-01-22,Family Plus,121.11
M00132,Luke,Ward,luke.ward22@gmail.com,Salt Lake City,84147,2025-08-25,2026-08-25,Groupon,0,,Family,79.96
M00133,Andrew,Mendoza,andrew.mendoza63@gmail.com,Phoenix,85061,2025-12-17,2026-12-17,Facebook Ads,0,,Couple,68.55
M00134,Carol,Young,carol.young47@outlook.com,Dallas,75291,2026-03-11,2027-03-11,Facebook Ads,0,,Family,60.94
M00135,Denise,Garcia,denise.garcia7@yahoo.com,Dallas,75280,2025-05-17,2026-05-17,Facebook Ads,5,2026-04-04,Family,67.22
M00136,Hannah,Phillips,hannah.phillips46@yahoo.com,Salt Lake City,84173,2025-10-15,2026-10-15,Affiliate,3,2025-12-03,Family,78.23
M00137,Angela,Reyes,angela.reyes59@yahoo.com,Houston,77022,2025-10-02,2026-10-02,Instagram Ads,0,,Family Plus,119.68
M00138,Samuel,Barnes,samuel.barnes95@gmail.com,Provo,84615,2025-10-18,2026-10-18,Facebook Ads,1,2025-11-12,Individual,31.94
M00139,Jose,Perry,jose.perry59@gmail.com,Dallas,75271,2025-10-01,2026-10-01,Instagram Ads,4,2026-04-04,Family,90.88
M00140,Dorothy,Woods,dorothy.woods63@gmail.com,Dallas,75215,2025-07-10,2026-07-10,Facebook Ads,0,,Family,59.49
M00141,Madison,Edwards,madison.edwards86@outlook.com,Boise,83789,2025-10-09,2026-10-09,Facebook Ads,0,,Family,68.94
M00142,Nolan,Foster,nolan.foster20@outlook.com,Fort Worth,76116,2025-08-07,2026-08-07,Facebook Ads,0,,Family Plus,107.2
M00143,Kevin,Martin,kevin.martin97@gmail.com,Phoenix,85045,2025-09-10,2026-09-10,Facebook Ads,0,,Couple,58.3
M00144,Charles,Castro,charles.castro57@yahoo.com,Provo,84667,2026-03-26,2027-03-26,Groupon,1,2026-03-28,Family Plus,115.83
M00145,Sebastian,Cox,sebastian.cox66@gmail.com,Boise,83768,2025-12-11,2026-12-11,TikTok Ads,3,2026-01-21,Couple,40.63
M00146,Scott,Myers,scott.myers90@gmail.com,Mesa,85273,2026-02-13,2027-02-13,Facebook Ads,1,2026-02-26,Family,87.86
M00147,Frank,Ramirez,frank.ramirez97@gmail.com,Idaho Falls,83496,2025-06-07,2026-06-07,Word of Mouth,0,,Family,77.02
M00148,Andrew,Vargas,andrew.vargas1@gmail.com,Salt Lake City,84165,2026-01-04,2027-01-04,Instagram Ads,1,2026-01-29,Family,79.33
M00149,Tyler,Butler,tyler.butler78@outlook.com,Phoenix,85053,2025-09-05,2026-09-05,Direct,0,,Family,64.33
M00150,Cheryl,Kim,cheryl.kim90@gmail.com,Phoenix,85080,2025-11-07,2026-11-07,Organic Search,0,,Couple,57.73
M00151,Dorothy,Rivera,dorothy.rivera65@gmail.com,Boise,83724,2025-09-03,2026-09-03,Instagram Ads,0,,Family,82.31
M00152,Logan,Kelly,logan.kelly55@outlook.com,Salt Lake City,84128,2026-01-12,2027-01-12,Facebook Ads,0,,Individual,24.34
M00153,Emily,Thomas,emily.thomas89@yahoo.com,Austin,78755,2025-06-21,2026-06-21,Instagram Ads,0,,Individual,36.36
M00154,Grace,Jimenez,grace.jimenez31@gmail.com,San Antonio,78299,2025-09-18,2026-09-18,Groupon,3,2026-04-10,Family,96.06
M00155,Liam,Gomez,liam.gomez93@yahoo.com,Salt Lake City,84197,2025-12-16,2026-12-16,Facebook Ads,1,2025-12-19,Family Plus,115.46
M00156,Angela,Johnson,angela.johnson43@gmail.com,El Paso,79915,2025-05-19,2026-05-19,Facebook Ads,0,,Couple,40.53
M00157,Amber,Cox,amber.cox63@outlook.com,Salt Lake City,84150,2025-07-20,2026-07-20,Word of Mouth,3,2026-03-25,Family Plus,107.74
M00158,Cameron,Williams,cameron.williams15@yahoo.com,Idaho Falls,83488,2025-10-22,2026-10-22,Affiliate,2,2026-01-26,Couple,40.2
M00159,Cheryl,Graham,cheryl.graham63@gmail.com,Mesa,85234,2025-07-03,2026-07-03,Groupon,0,,Individual,20.92
M00160,Wyatt,Taylor,wyatt.taylor27@outlook.com,Mesa,85264,2025-08-25,2026-08-25,Instagram Ads,0,,Couple,63.86
M00161,Christopher,Flores,christopher.flores4@gmail.com,Dallas,75221,2026-02-27,2027-02-27,Facebook Ads,1,2026-03-14,Individual,24.04
M00162,Donald,Johnson,donald.johnson83@yahoo.com,Tucson,85715,2025-10-11,2026-10-11,Organic Search,6,2026-03-13,Individual,37.56
M00163,Grace,Myers,grace.myers2@gmail.com,Austin,78725,2025-06-28,2026-06-28,Facebook Ads,0,,Family,74.76
M00164,Benjamin,Turner,benjamin.turner96@outlook.com,Phoenix,85092,2025-05-24,2026-05-24,Affiliate,0,,Individual,22.68
M00165,Deborah,Robinson,deborah.robinson24@outlook.com,Salt Lake City,84180,2026-03-01,2027-03-01,Word of Mouth,1,2026-03-23,Family,70.63
M00166,Sebastian,Moore,sebastian.moore25@gmail.com,Houston,77088,2025-06-18,2026-06-18,Organic Search,11,2026-03-12,Family,65.1
M00167,Elizabeth,Gutierrez,elizabeth.gutierrez70@outlook.com,Boise,83729,2025-11-27,2026-11-27,Groupon,0,,Couple,62.16
M00168,Diane,Sanders,diane.sanders65@gmail.com,Phoenix,85088,2025-11-11,2026-11-11,Organic Search,0,,Family,64.61
M00169,Emily,Woods,emily.woods46@gmail.com,San Antonio,78239,2025-12-20,2026-12-20,Facebook Ads,0,,Couple,40.28
M00170,Heather,Harrison,heather.harrison59@yahoo.com,Boise,83723,2025-11-21,2026-11-21,Organic Search,2,2026-02-13,Family,92.19
M00171,Ruth,Price,ruth.price45@gmail.com,Houston,77087,2025-10-22,2026-10-22,Facebook Ads,4,2026-02-25,Family Plus,104.84
M00172,Grace,Bell,grace.bell3@gmail.com,Salt Lake City,84185,2025-06-15,2026-06-15,Facebook Ads,9,2026-04-07,Family,60.57
M00173,Stephanie,Butler,stephanie.butler20@yahoo.com,Idaho Falls,83486,2025-10-18,2026-10-18,Facebook Ads,6,2026-04-11,Family,79.13
M00174,Angela,McDonald,angela.mcdonald99@gmail.com,Provo,84646,2026-04-02,2027-04-02,Word of Mouth,1,2026-04-03,Family,69.31
M00175,Jason,Watson,jason.watson53@gmail.com,Salt Lake City,84193,2025-06-19,2026-06-19,Word of Mouth,3,2026-03-05,Couple,55.08
M00176,Eric,Ward,eric.ward74@gmail.com,Tucson,85727,2025-08-19,2026-08-19,Affiliate,0,,Family,88.91
M00177,Michelle,Sanchez,michelle.sanchez28@gmail.com,San Antonio,78280,2025-09-17,2026-09-17,Word of Mouth,0,,Family,61.08
M00178,Mary,White,mary.white19@gmail.com,Austin,78721,2026-03-16,2027-03-16,Facebook Ads,0,,Couple,41.4
M00179,Jose,Kelly,jose.kelly92@yahoo.com,San Antonio,78232,2025-07-13,2026-07-13,Organic Search,10,2026-02-11,Couple,45.05
M00180,Luke,Ramos,luke.ramos44@outlook.com,El Paso,79978,2025-09-23,2026-09-23,Instagram Ads,0,,Family,86.77
M00181,Nicholas,Gray,nicholas.gray59@outlook.com,Mesa,85271,2025-12-13,2026-12-13,Facebook Ads,2,2025-12-21,Individual,31.67
M00182,Pamela,White,pamela.white52@outlook.com,Salt Lake City,84132,2025-09-25,2026-09-25,Word of Mouth,8,2026-03-30,Couple,65.83
M00183,Madison,Peterson,madison.peterson63@gmail.com,San Antonio,78275,2026-03-08,2027-03-08,Groupon,0,,Couple,56.3
M00184,Peter,McDonald,peter.mcdonald70@gmail.com,Dallas,75297,2025-07-13,2026-07-13,Instagram Ads,3,2025-10-09,Family,63.81
M00185,Gary,Morgan,gary.morgan61@yahoo.com,Phoenix,85064,2025-09-11,2026-09-11,Facebook Ads,4,2026-01-29,Family,73.89
M00186,Megan,Wright,megan.wright81@gmail.com,Tucson,85772,2025-09-13,2026-09-13,Groupon,3,2026-03-27,Family,81.71
M00187,Ann,Rogers,ann.rogers45@gmail.com,Salt Lake City,84196,2025-07-03,2026-07-03,TikTok Ads,6,2026-04-03,Individual,30.52
M00188,Debra,Collins,debra.collins41@gmail.com,Phoenix,85044,2025-10-01,2026-10-01,Word of Mouth,2,2025-11-26,Couple,65.63
M00189,Gary,Cook,gary.cook96@yahoo.com,Salt Lake City,84123,2026-03-08,2027-03-08,Facebook Ads,1,2026-03-13,Family Plus,106.03
M00190,Lisa,Jimenez,lisa.jimenez40@gmail.com,Tucson,85766,2026-03-21,2027-03-21,Word of Mouth,1,2026-03-27,Individual,35.77
M00191,Christina,Cooper,christina.cooper71@gmail.com,El Paso,79999,2025-05-14,2026-05-14,Word of Mouth,0,,Family,77.26
M00192,Virginia,Richardson,virginia.richardson45@gmail.com,Phoenix,85021,2025-10-31,2026-10-31,Groupon,1,2025-11-05,Couple,46.79
M00193,Robert,Kennedy,robert.kennedy97@gmail.com,Salt Lake City,84165,2025-06-28,2026-06-28,Instagram Ads,4,2026-02-09,Family,90.87
M00194,Carter,Cooper,carter.cooper37@outlook.com,Phoenix,85034,2025-05-13,2026-05-13,Affiliate,1,2025-05-19,Individual,24.79
